YEAR,COUNTY,NUMBER_OF_ED_VISITS,AGE_ADJUSTED_ED_VISIT_RATE,AGE
2014,Los Angeles,20391,82.63628318584071,child
2014,Madera,371,30.183333333333334,adult
2014,Madera,591,128.3,child
2014,Marin,369,20.96,adult
2014,Marin,173,49.114285714285714,child
2014,Mariposa,38,39.5,adult
2014,Mendocino,276,57.275000000000006,adult
2014,Mendocino,116,83.36666666666666,child
2014,Merced,1266,68.27499999999999,adult
2014,Merced,975,118.84545454545454,child
2014,Modoc,33,100.4,adult
2014,Mono,33,41.0,adult
2014,Monterey,1093,38.23571428571428,adult
2014,Monterey,900,82.93846153846154,child
2014,Napa,434,39.2,adult
2014,Napa,177,66.06666666666666,child
2014,Nevada,278,47.1,adult
2014,Nevada,41,40.0,child
2014,Orange,5599,23.147368421052633,adult
2014,Orange,3943,53.75857142857143,child
2014,Placer,683,27.53333333333333,adult
2014,Placer,300,41.666666666666664,child
2014,Plumas,27,32.849999999999994,adult
2014,Riverside,5560,36.39016393442623,adult
2014,Riverside,3834,65.76792452830189,child
2014,Sacramento,6611,63.26511627906977,adult
2014,Sacramento,3123,95.9361111111111,child
2014,San Benito,170,47.2,adult
2014,San Benito,107,75.1,child
2014,San Bernardino,7256,56.95636363636363,adult
2014,San Bernardino,4940,90.21627906976745,child
2014,San Diego,6510,27.446575342465753,adult
2014,San Diego,4440,60.919999999999995,child
2014,San Francisco,2186,33.743478260869566,adult
2014,San Francisco,813,77.89444444444445,child
2014,San Joaquin,2765,60.31666666666666,adult
2014,San Joaquin,1744,89.50909090909092,child
2014,San Luis Obispo,504,28.608333333333334,adult
2014,San Luis Obispo,214,61.325,child
2014,San Mateo,1722,30.40526315789474,adult
2014,San Mateo,827,54.172222222222224,child
2014,Santa Barbara,845,26.457142857142856,adult
2014,Santa Barbara,609,70.81666666666666,child
2014,Santa Clara,3611,25.1375,adult
2014,Santa Clara,1729,42.671052631578945,child
2014,Santa Cruz,507,24.972727272727273,adult
2014,Santa Cruz,342,85.67999999999999,child
2014,Shasta,704,57.02857142857143,adult
2014,Shasta,279,84.14999999999999,child
2014,Siskiyou,112,54.0,adult
2014,Siskiyou,19,87.8,child
2014,Solano,2212,67.71818181818182,adult
2014,Solano,1077,112.35999999999999,child
2014,Sonoma,1225,33.71764705882353,adult
2014,Sonoma,541,54.56428571428571,child
2014,Stanislaus,2013,49.69444444444444,adult
2014,Stanislaus,1330,90.38333333333334,child
2014,Sutter,229,35.0,adult
2014,Sutter,113,53.73333333333333,child
2014,Tehama,199,64.73333333333333,adult
2014,Tehama,100,81.05000000000001,child
2014,Trinity,39,86.15,adult
2014,Tulare,1160,37.06666666666667,adult
2014,Tulare,1047,76.38666666666667,child
2014,Tuolumne,133,39.6,adult
2014,Tuolumne,41,89.7,child
2014,Ventura,1548,25.575,adult
2014,Ventura,1218,57.04210526315789,child
2014,Yolo,517,40.34285714285714,adult
2014,Yolo,253,59.32857142857143,child
2014,Yuba,208,50.7,adult
2014,Yuba,71,40.099999999999994,child
2015,Alameda,6411,54.66046511627907,adult
2015,Alameda,3340,104.17631578947368,child
2015,Amador,134,53.98,adult
2015,Butte,701,49.47777777777778,adult
2015,Butte,287,70.775,child
2015,Calaveras,78,85.1,adult
2015,Colusa,39,38.25,adult
2015,Colusa,33,77.5,child
2015,Contra Costa,4459,54.906060606060606,adult
2015,Contra Costa,2250,81.91111111111111,child
2015,Del Norte,85,47.3,adult
2015,Del Norte,44,92.2,child
2015,El Dorado,308,32.64,adult
2015,El Dorado,83,33.86666666666667,child
2015,Fresno,3343,58.438235294117646,adult
2015,Fresno,4341,153.24705882352941,child
2015,Glenn,76,47.55,adult
2015,Glenn,32,51.0,child
2015,Humboldt,509,65.28333333333333,adult
2015,Humboldt,114,61.339999999999996,child
2015,Imperial,626,52.825,adult
2015,Imperial,652,142.95000000000002,child
2015,Inyo,39,37.4,adult
2015,Inyo,23,82.0,child
2015,Kern,3163,56.44,adult
2015,Kern,2491,103.77391304347827,child
2015,Kings,598,66.75,adult
2015,Kings,561,127.0,child
2015,Lake,329,78.95,adult
2015,Lake,78,90.5,child
2015,Lassen,94,79.35,adult
2015,Lassen,23,63.0,child
2015,Los Angeles,31365,40.20229885057471,adult
2015,Los Angeles,20166,82.317903930131,child
2015,Madera,435,32.96666666666666,adult
2015,Madera,582,112.64999999999999,child
2015,Marin,291,22.2,adult
2015,Marin,125,37.68333333333333,child
2015,Mariposa,53,72.8,adult
2015,Mendocino,279,54.375,adult
2015,Mendocino,106,78.23333333333333,child
2015,Merced,1287,63.583333333333336,adult
2015,Merced,1037,128.54545454545453,child
2015,Modoc,26,64.3,adult
2015,Mono,24,35.0,adult
2015,Mono,14,76.4,child
2015,Monterey,1144,40.771428571428565,adult
2015,Monterey,914,92.175,child
2015,Napa,361,39.120000000000005,adult
2015,Napa,175,68.43333333333332,child
2015,Nevada,253,44.9,adult
2015,Nevada,38,88.1,child
2015,Orange,5868,24.803846153846155,adult
2015,Orange,4177,58.215714285714284,child
2015,Placer,726,34.300000000000004,adult
2015,Placer,292,44.12222222222222,child
2015,Plumas,65,77.03333333333333,adult
2015,Riverside,6048,39.66379310344828,adult
2015,Riverside,3801,66.77115384615385,child
2015,Sacramento,6677,66.0909090909091,adult
2015,Sacramento,3188,97.24324324324324,child
2015,San Benito,166,37.900000000000006,adult
