,year,County Name,county,city,particle,measurement,days_recorded,avg_val,variance,min_val,percentile_10,percentile_25,percentile_75,percentile_90,max_val
35,2023,Orange,Orange,Anaheim,Carbon monoxide,Parts per million,365,0.34789510056390976,0.048456097884482734,0.004167,0.1,0.158333,0.475,0.6304167999999999,1.555
36,2023,Riverside,Riverside,Palm Springs,Carbon monoxide,Parts per million,365,0.2574252653352354,0.014056429936898766,0.0125,0.1375,0.183333,0.295833,0.4115,0.866667
37,2023,Sacramento,Sacramento,Sacramento,Carbon monoxide,Parts per million,74,0.47164008783783784,0.02486195806793101,0.166667,0.2807707,0.333333,0.58418725,0.6875,0.894444
38,2023,San Bernardino,San Bernardino,Ontario,Carbon monoxide,Parts per million,365,0.2758571449829932,0.017354466943360937,-0.029167,0.108333,0.183333,0.370833,0.45,0.716667
39,2023,San Diego,San Diego,San Diego,Carbon monoxide,Parts per million,365,0.4115848860759494,0.033206642985808416,0.14,0.2,0.26083325,0.5058155,0.6383764000000004,1.59375
40,2023,San Francisco,San Francisco,San Francisco,Carbon monoxide,Parts per million,365,0.2551373178082192,0.019830572892115622,-0.055,0.104348,0.1673915,0.30860525000000005,0.4723911,0.893333
41,2023,San Joaquin,San Joaquin,Stockton,Carbon monoxide,Parts per million,324,0.2722221280864197,0.018699363845283406,0.1,0.1625,0.183315,0.32071975,0.48597290000000054,0.8
42,2023,San Mateo,San Mateo,Redwood City,Carbon monoxide,Parts per million,363,0.34332203168044073,0.015246314881150712,0.16,0.2,0.258333,0.408696,0.5,0.782609
43,2023,Santa Barbara,Santa Barbara,Capitan,Carbon monoxide,Parts per million,365,0.07837872348207754,0.037307448868544264,-0.4,-0.1398416,0.0,0.195652,0.386957,0.582609
44,2023,Santa Clara,Santa Clara,San Jose,Carbon monoxide,Parts per million,365,0.39356964779005527,0.04196464652277295,-0.256522,0.1784598,0.216667,0.508696,0.6759782999999999,1.095652
45,2023,Solano,Solano,Vallejo,Carbon monoxide,Parts per million,351,0.38558697567954225,0.025755776130722892,0.118182,0.245114,0.3,0.418182,0.631818,1.066667
46,2023,Sonoma,Sonoma,Sebastopol,Carbon monoxide,Parts per million,363,0.2884955137741047,0.007647494289254312,0.0,0.2,0.204348,0.334783,0.413043,0.6
47,2023,Stanislaus,Stanislaus,Modesto,Carbon monoxide,Parts per million,365,0.22043697397260276,0.018948661086826465,0.083696,0.108333,0.1315655,0.26141274999999997,0.4170836000000001,1.125
48,2023,Butte,Butte,Chico,Lead (TSP) STP,Micrograms/cubic meter (25 C),30,0.0016956666666666667,6.661081609195404e-07,0.00065,0.00065,0.00065,0.0023350000000000003,0.0027100000000000006,0.00307
49,2023,Fresno,Fresno,Fresno,Lead (TSP) STP,Micrograms/cubic meter (25 C),25,0.0032864,2.543299e-06,0.00065,0.0009100000000000002,0.00243,0.00443,0.005032000000000001,0.00651
50,2023,Imperial,Imperial,Calexico,Lead (TSP) STP,Micrograms/cubic meter (25 C),31,0.0062699999999999995,4.002603333333332e-05,0.00163,0.00274,0.0032649999999999997,0.007865,0.00907,0.0373
51,2023,Kern,Kern,Bakersfield,Lead (TSP) STP,Micrograms/cubic meter (25 C),31,0.0034846551724137934,2.8853972474289165e-06,0.00065,0.0015609999999999999,0.002495,0.004297499999999999,0.004936,0.00946
52,2023,Los Angeles,Los Angeles,Los Angeles,Lead (TSP) STP,Micrograms/cubic meter (25 C),72,0.007429912663755459,5.1381305900452004e-05,0.001,0.002,0.003,0.009,0.014,0.066
53,2023,Placer,Placer,Roseville,Lead (TSP) STP,Micrograms/cubic meter (25 C),24,0.0015337499999999997,8.974592391304347e-07,0.00065,0.00065,0.00065,0.002215,0.002501,0.00435
54,2023,Riverside,Riverside,Rubidoux,Lead (TSP) STP,Micrograms/cubic meter (25 C),60,0.004461204819277109,5.457905847781369e-06,0.0,0.002,0.003,0.006,0.0070160000000000005,0.011
55,2023,San Bernardino,San Bernardino,San Bernardino,Lead (TSP) LC,Micrograms/cubic meter (LC),59,0.005203389830508475,6.406195207481004e-06,0.0,0.002,0.004,0.007,0.008200000000000002,0.013
56,2023,San Diego,San Diego,Chula Vista,Lead (TSP) STP,Micrograms/cubic meter (25 C),73,0.010395474860335195,0.00012078267322829705,0.0,0.001772,0.003025,0.014,0.022200000000000015,0.061
57,2023,San Francisco,San Francisco,San Francisco,Lead (TSP) STP,Micrograms/cubic meter (25 C),26,0.0036026923076923076,3.365516461538462e-06,0.00065,0.001845,0.00248,0.0041725,0.005965,0.00867
58,2023,San Joaquin,San Joaquin,Stockton,Lead (TSP) STP,Micrograms/cubic meter (25 C),30,0.004769666666666667,1.7778713678160922e-05,0.00065,0.002096,0.00269,0.00496,0.008816000000000003,0.0187
59,2023,Santa Clara,Santa Clara,San Jose,Lead (TSP) STP,Micrograms/cubic meter (25 C),62,0.011409277108433735,0.00010923376532471349,0.0,0.0010660000000000003,0.0025700000000000002,0.0175,0.0248,0.051
60,2023,Ventura,Ventura,Simi Valley,Lead (TSP) STP,Micrograms/cubic meter (25 C),29,0.005135862068965518,0.0003405611608374385,0.00065,0.00065,0.00065,0.00245,0.002894,0.101
61,2023,Alameda,Alameda,Livermore,Nitrogen dioxide (NO2),Parts per billion,365,8.687764589344262,29.768238662730415,-0.656522,2.8734782,4.52375,11.553261000000001,16.2847829,32.604348
62,2023,Butte,Butte,Chico,Nitrogen dioxide (NO2),Parts per billion,365,4.829823120547945,8.608843492012069,0.978261,2.0939134,2.758333,5.83913,9.543478400000001,14.082609
63,2023,Contra Costa,Contra Costa,Concord,Nitrogen dioxide (NO2),Parts per billion,365,4.723028973702422,10.436999504233222,-0.916667,1.6017392000000001,2.373913,6.465217,9.499130200000023,16.930435
64,2023,Fresno,Fresno,Not in a city,Nitrogen dioxide (NO2),Parts per billion,365,9.120924559831066,37.278042151494894,1.382609,3.182609,4.426087,12.821739,18.333333,34.413043
65,2023,Humboldt,Humboldt,Eureka,Nitrogen dioxide (NO2),Parts per billion,365,1.6618794575342466,2.0969223756271496,0.058824,0.314,0.633333,2.2125,3.8990478000000035,7.325
66,2023,Imperial,Imperial,Calexico,Nitrogen dioxide (NO2),Parts per billion,365,7.611201443835616,21.669566746979363,1.4,2.643913,4.19999975,9.776087,13.858965000000001,31.704348
67,2023,Kern,Kern,Not in a city,Nitrogen dioxide (NO2),Parts per billion,365,10.380991182671082,44.44344250029816,0.973913,3.3004348,5.021739,14.55869575,20.733913400000002,32.426087
68,2023,Kings,Kings,Hanford,Nitrogen dioxide (NO2),Parts per billion,351,6.768570763532763,17.543289125540174,0.343478,2.9,3.6391305,8.5717395,13.252174,20.982609
69,2023,Los Angeles,Los Angeles,Glendora,Nitrogen dioxide (NO2),Parts per billion,365,12.140627419753086,63.37155829984034,0.026087,3.899999800000001,6.2596015000000005,16.34375,23.805833000000003,47.941667
70,2023,Madera,Madera,Madera,Nitrogen dioxide (NO2),Parts per billion,365,5.258262279452055,6.5542921214337095,1.513043,2.5416882000000003,3.304348,6.63913,9.016443,14.33913
71,2023,Marin,Marin,San Rafael,Nitrogen dioxide (NO2),Parts per billion,363,5.590101319559229,20.824148059450742,-0.06087,1.6008696,2.220773,8.043478499999999,12.472671000000002,22.330435
72,2023,Merced,Merced,Not in a city,Nitrogen dioxide (NO2),Parts per billion,365,6.356404046575342,10.832021692236948,1.943478,3.0295654,3.656522,8.390476,11.123478,18.170833
73,2023,Monterey,Monterey,Salinas,Nitrogen dioxide (NO2),Parts per billion,357,3.045704336134454,5.901679574530741,0.0,0.625,1.26087,4.26087,7.161594200000002,12.791667
74,2023,Orange,Orange,Anaheim,Nitrogen dioxide (NO2),Parts per billion,365,13.803588892364305,63.597598309192335,1.508333,4.5766666,6.801190500000001,18.9604165,24.3399998,43.085
75,2023,Placer,Placer,Roseville,Nitrogen dioxide (NO2),Parts per billion,365,5.833500663013699,10.900621977077376,1.804348,2.582609,3.313043,7.747826,10.679999800000003,18.23913
76,2023,Riverside,Riverside,Banning,Nitrogen dioxide (NO2),Parts per billion,365,8.95355336643678,36.46047000130273,0.466667,2.7933334,4.4645835,11.814582999999999,17.54500000000001,34.572222
77,2023,Sacramento,Sacramento,Arden-Arcade,Nitrogen dioxide (NO2),Parts per billion,365,5.343439800501883,21.16213851001254,0.18,1.125,2.0,7.49130425,12.0155554,25.263158
78,2023,San Bernardino,San Bernardino,Barstow,Nitrogen dioxide (NO2),Parts per billion,365,15.701111491960184,95.4397686373754,-0.3,3.5786958,7.85353225,21.8510415,29.32375,53.866667
79,2023,San Diego,San Diego,Chula Vista,Nitrogen dioxide (NO2),Parts per billion,365,7.816105547642929,35.23780135887101,0.686364,2.295238,3.336364,10.8765155,16.340909,33.218182
80,2023,San Francisco,San Francisco,San Francisco,Nitrogen dioxide (NO2),Parts per billion,365,7.566763671232876,40.47489028760642,0.7,2.06087,2.782609,10.530435,17.007826400000003,28.134783
81,2023,San Joaquin,San Joaquin,Stockton,Nitrogen dioxide (NO2),Parts per billion,365,5.867254921450151,17.21409553799074,0.886957,2.2282609000000004,3.221739,7.016368999999999,11.7430434,24.852174
82,2023,San Luis Obispo,San Luis Obispo,Nipomo,Nitrogen dioxide (NO2),Parts per billion,365,2.825559614855571,5.272817888606603,0.043478,0.8165218000000001,1.247826,3.5673909999999998,5.8060872,13.856522
83,2023,San Mateo,San Mateo,Redwood City,Nitrogen dioxide (NO2),Parts per billion,359,7.727951417827298,29.718428965605586,0.226087,2.0831581999999997,3.67197,10.128261,16.457391199999996,29.978261
84,2023,Santa Barbara,Santa Barbara,Lompoc,Nitrogen dioxide (NO2),Parts per billion,365,0.7142116572934973,1.9538820436440956,-0.827273,-0.3833763999999999,0.0,0.956522,1.7565216000000041,10.036364
85,2023,Santa Clara,Santa Clara,San Jose,Nitrogen dioxide (NO2),Parts per billion,365,10.948361614540467,40.48089665223416,1.472727,4.1427276,6.2,14.117391,20.884695600000004,33.38
86,2023,Solano,Solano,Vallejo,Nitrogen dioxide (NO2),Parts per billion,330,5.819143421212121,22.6568782193158,0.681818,1.6295654000000002,2.3477942499999997,8.2569375,13.386344000000003,23.91875
87,2023,Sonoma,Sonoma,Sebastopol,Nitrogen dioxide (NO2),Parts per billion,365,3.245599808219178,6.0749474740346,0.517391,0.964348,1.286957,4.543478,6.9747826,11.386957
88,2023,Stanislaus,Stanislaus,Turlock,Nitrogen dioxide (NO2),Parts per billion,365,7.812128276712329,15.921992496403979,2.504348,3.854348,4.738095,10.047826,14.102857000000002,20.213043
89,2023,Sutter,Sutter,Yuba City,Nitrogen dioxide (NO2),Parts per billion,361,5.773137911357341,11.575534508536657,1.478261,2.486957,3.26087,7.121429,11.504348,18.5
90,2023,Tulare,Tulare,Visalia,Nitrogen dioxide (NO2),Parts per billion,359,7.172163610027855,12.843923024880262,1.613043,3.4365214,4.6,9.1652175,12.605217399999999,19.265217
91,2023,Ventura,Ventura,Simi Valley,Nitrogen dioxide (NO2),Parts per billion,365,4.275562485596708,8.488575947116418,0.0,1.478261,2.26087,5.434783,7.660869600000002,20.0
92,2023,Yolo,Yolo,Not in a city,Nitrogen dioxide (NO2),Parts per billion,362,3.3767422955801107,3.580849437848198,0.508696,1.5399996,2.07840925,4.1911565,6.0513044,11.221739
93,2023,Alameda,Alameda,Livermore,Nitric oxide (NO),Parts per billion,365,8.967073090078605,105.66344804396012,-1.134783,0.486364,1.928261,12.776087,21.497273000000003,167.9
94,2023,Butte,Butte,Chico,Nitric oxide (NO),Parts per billion,365,4.660635065753425,29.197197438447624,0.056522,0.4311685,0.856522,5.81413025,11.7761957,33.617391
95,2023,Contra Costa,Contra Costa,Concord,Nitric oxide (NO),Parts per billion,365,3.7885357443502827,19.703427888852865,-0.890909,0.20729830000000002,0.742391,5.071492,9.6647823,31.765217
96,2023,Fresno,Fresno,Not in a city,Nitric oxide (NO),Parts per billion,365,6.692572341188022,77.71517885008167,-0.136364,0.282609,0.613043,8.220652,17.8551809,61.843478
97,2023,Imperial,Imperial,Calexico,Nitric oxide (NO),Parts per billion,365,7.668163758219179,109.86706174644581,-0.15,0.24695640000000005,1.3,9.728261,17.833043700000005,90.3
98,2023,Inyo,Inyo,Not in a city,Reactive oxides of nitrogen (NOy),Parts per billion,339,0.7197597699115044,0.5572479417060334,0.0,0.021739,0.03835375,1.33682075,1.6887501000000003,3.116667
99,2023,Kern,Kern,Not in a city,Nitric oxide (NO),Parts per billion,365,7.010729492743607,66.46592832192749,-0.45,0.430435,1.13913,9.626087,16.978597200000006,54.530435
100,2023,Kings,Kings,Hanford,Nitric oxide (NO),Parts per billion,351,5.7566138888888885,41.22230838906093,0.178261,0.3352177,0.68913075,7.73369525,14.583975599999999,33.713043
101,2023,Los Angeles,Los Angeles,Glendora,Nitric oxide (NO),Parts per billion,365,12.040365412071683,254.85266081495453,-0.758333,0.533333,1.629167,15.117708499999999,30.8088815,174.904167
102,2023,Madera,Madera,Madera,Nitric oxide (NO),Parts per billion,365,3.8310885164383564,14.738404988747487,0.172727,0.363636,0.595652,5.519713250000001,9.235217400000002,23.330435
103,2023,Marin,Marin,San Rafael,Nitric oxide (NO),Parts per billion,363,5.425404136363636,34.56261207901983,0.526087,0.9844865,1.48804375,6.693478499999999,13.8891305,32.917391
104,2023,Merced,Merced,Not in a city,Nitric oxide (NO),Parts per billion,365,4.701990698630137,24.7764355402384,0.117391,0.33434820000000004,0.69021775,6.5304345,12.046818100000001,32.626087
105,2023,Monterey,Monterey,Salinas,Nitric oxide (NO),Parts per billion,357,1.7181828235294117,6.129515076160723,0.0,0.0,0.041667,2.25,5.6541669000000025,13.625
106,2023,Orange,Orange,Anaheim,Nitric oxide (NO),Parts per billion,365,14.802016010119594,204.45954105938475,-1.966667,0.8483332,3.9072917499999997,21.37291675,35.6298548,109.83
107,2023,Placer,Placer,Roseville,Nitric oxide (NO),Parts per billion,365,4.360809628767123,28.59504738004317,-0.16087,0.16999970000000006,0.40208325,5.84456525,11.004347700000002,46.521739
108,2023,Riverside,Riverside,Banning,Nitric oxide (NO),Parts per billion,365,8.143519593358103,117.14136151070184,-0.583333,0.254167,0.92604175,10.70624975,21.55625,77.927778
109,2023,Sacramento,Sacramento,Arden-Arcade,Nitric oxide (NO),Parts per billion,365,5.212143440715183,65.96253582849748,-1.341176,0.0,0.375,6.2948372500000005,14.761087100000006,71.909091
110,2023,San Bernardino,San Bernardino,Ontario,Nitric oxide (NO),Parts per billion,365,21.603857617124394,375.50610040898596,-0.575,1.4566670000000013,6.50625,30.89375,49.75000019999999,107.929167
111,2023,San Diego,San Diego,El Cajon,Reactive oxides of nitrogen (NOy),Parts per billion,349,5.82438911461318,41.37396077382293,-0.1,0.604545,1.003409,7.3650295,15.071052300000012,33.268182
112,2023,San Francisco,San Francisco,San Francisco,Nitric oxide (NO),Parts per billion,365,6.596177923287671,56.2467405686899,-0.808696,0.8126083,1.916304,8.118478249999999,15.936956400000003,39.778261
113,2023,San Joaquin,San Joaquin,Stockton,Nitric oxide (NO),Parts per billion,365,5.7464627212990935,81.84405881936425,-1.073913,0.23752840000000003,0.59021725,6.1423915,14.470000000000004,76.72
114,2023,San Luis Obispo,San Luis Obispo,Nipomo,Nitric oxide (NO),Parts per billion,365,2.252544468363136,11.282933919165954,-0.491304,0.091304,0.26087,2.85015525,5.465217600000002,33.343478
