year,county Name,county,definition,aqi,days_recorded,avg_val,variance,min_val,percentile_10,percentile_25,percentile_75,percentile_90,max_val,sites_avg
2015,Alameda,Alameda,3,55.49315068493151,365,55.49315068493151,352.37701339756137,23,36.0,43.0,62.0,78.60000000000002,147,5.419178082191781
2015,Alpine,Alpine,1,108.51612903225806,31,108.51612903225806,1189.3247311827954,17,75.0,84.0,140.5,149.0,177,1.0
2015,Amador,Amador,1,42.84340659340659,364,42.84340659340659,400.1214164623253,6,22.0,29.0,49.0,67.0,140,1.0
2015,Butte,Butte,3,59.917808219178085,365,59.917808219178085,350.6470721059763,31,41.0,46.0,71.0,84.0,153,3.83013698630137
2015,Calaveras,Calaveras,2,55.961643835616435,365,55.961643835616435,1092.0754478398321,22,33.0,40.0,60.0,88.80000000000007,390,1.0
2015,Colusa,Colusa,3,53.87397260273973,365,53.87397260273973,343.94561192232413,13,32.0,43.0,61.0,73.0,208,1.904109589041096
2015,Contra Costa,Contra Costa,2,51.52602739726027,365,51.52602739726027,275.2500075267199,27,34.4,41.0,58.0,69.60000000000002,147,3.663013698630137
2015,Del Norte,Del Norte,1,23.350877192982455,114,23.350877192982455,288.4067691352274,2,6.0,12.0,29.75,51.0,72,1.0
2015,El Dorado,El Dorado,3,52.38082191780822,365,52.38082191780822,643.6979828390786,10,30.0,35.0,61.0,91.80000000000007,166,3.0465753424657533
2015,Fresno,Fresno,3,87.01369863013699,365,87.01369863013699,1138.7608008429925,29,50.0,61.0,105.0,136.0,205,7.789041095890411
2015,Glenn,Glenn,3,48.63835616438356,365,48.63835616438356,200.19852476290828,4,33.0,38.0,56.0,68.0,93,1.0
2015,Humboldt,Humboldt,3,42.43287671232877,365,42.43287671232877,179.4000150534397,11,27.0,32.0,53.0,59.0,91,2.2986301369863016
2015,Imperial,Imperial,4,71.44931506849315,365,71.44931506849315,585.1821767273824,34,46.0,56.0,80.0,105.0,184,4.558904109589041
2015,Inyo,Inyo,3,63.657534246575345,365,63.657534246575345,8006.011515881378,27,32.0,39.0,71.0,89.60000000000002,1482,14.342465753424657
2015,Kern,Kern,3,91.18082191780822,365,91.18082191780822,1207.6485322896278,33,53.0,64.0,112.0,144.80000000000007,201,10.150684931506849
2015,Kings,Kings,3,77.08219178082192,365,77.08219178082192,912.5206984796021,12,44.0,54.0,94.0,118.60000000000002,182,2.063013698630137
2015,Lake,Lake,2,36.570247933884296,363,36.570247933884296,113.94187480023729,15,25.0,30.0,43.0,47.0,148,1.2699724517906337
2015,Los Angeles,Los Angeles,4,93.14246575342466,365,93.14246575342466,1278.8642631341258,40,57.4,64.0,119.0,150.60000000000002,203,16.07123287671233
2015,Madera,Madera,3,70.45205479452055,365,70.45205479452055,660.2044257112756,23,44.0,52.0,83.0,105.0,156,2.0
2015,Marin,Marin,4,44.78082191780822,365,44.78082191780822,301.6825982236937,0,25.4,31.0,55.0,64.0,103,1.3041095890410959
2015,Mariposa,Mariposa,3,54.054794520547944,365,54.054794520547944,566.700286015354,8,35.0,39.0,61.0,84.0,240,2.441095890410959
2015,Mendocino,Mendocino,2,46.90958904109589,365,46.90958904109589,240.29674845702243,22,31.0,36.0,54.0,60.60000000000002,164,3.756164383561644
2015,Merced,Merced,2,66.57534246575342,365,66.57534246575342,698.7944452807458,17,41.0,48.0,80.0,105.0,159,1.3205479452054794
2015,Mono,Mono,2,67.54246575342465,365,67.54246575342465,115111.72140599141,0,5.0,8.0,27.0,54.0,4384,2.367123287671233
2015,Monterey,Monterey,4,42.25753424657534,365,42.25753424657534,119.01591148577451,24,31.0,34.0,49.0,54.0,120,3.0
2015,Napa,Napa,5,51.087671232876716,365,51.087671232876716,302.3878970344726,5,28.0,37.0,60.0,72.0,108,1.0
2015,Nevada,Nevada,2,57.45879120879121,364,57.45879120879121,613.43906850725,27,36.0,41.75,67.0,93.0,166,1.7087912087912087
2015,Orange,Orange,4,64.77808219178083,365,64.77808219178083,371.1896281800391,27,47.0,53.0,71.0,87.0,156,5.0
2015,Placer,Placer,3,54.14520547945205,365,54.14520547945205,355.50358271865093,22,36.0,43.0,61.0,76.20000000000005,189,1.9726027397260273
2015,Plumas,Plumas,1,60.446969696969695,132,60.446969696969695,1152.1574716631974,18,24.0,31.75,79.25,101.70000000000002,159,1.7121212121212122
2015,Riverside,Riverside,3,95.3013698630137,365,95.3013698630137,1365.9254102062328,37,54.0,66.0,120.0,150.0,238,15.884931506849314
2015,Sacramento,Sacramento,3,64.67397260273972,365,64.67397260273972,570.9620954388074,26,41.0,49.0,73.0,93.0,172,7.558904109589041
2015,San Benito,San Benito,3,43.0027397260274,365,43.0027397260274,161.5027397260276,18,31.0,34.0,48.0,58.0,93,1.9534246575342467
2015,San Bernardino,San Bernardino,4,94.74246575342465,365,94.74246575342465,1542.62030709017,40,55.4,64.0,117.0,154.0,223,14.635616438356164
2015,San Diego,San Diego,4,70.3972602739726,365,70.3972602739726,488.44339906668654,26,47.0,55.0,82.0,102.0,156,12.416438356164383
2015,San Francisco,San Francisco,3,42.11780821917808,365,42.11780821917808,260.7745446334493,7,24.0,30.0,53.0,61.0,100,1.0
2015,San Joaquin,San Joaquin,3,66.36986301369863,365,66.36986301369863,530.8765617943704,33,44.0,51.0,76.0,100.0,164,3.0767123287671234
2015,San Luis Obispo,San Luis Obispo,3,59.97808219178082,365,59.97808219178082,237.93907872948978,31,43.0,50.0,67.0,80.0,126,9.331506849315069
2015,San Mateo,San Mateo,4,38.24657534246575,365,38.24657534246575,186.5214511515879,13,23.0,29.0,44.0,56.0,101,1.0
2015,Santa Barbara,Santa Barbara,4,52.47123287671233,365,52.47123287671233,145.03557127803685,25,40.0,43.0,58.0,69.0,101,12.134246575342466
2015,Santa Clara,Santa Clara,3,52.37260273972603,365,52.37260273972603,310.99814842691563,22,34.0,41.0,60.0,71.0,147,4.3123287671232875
2015,Santa Cruz,Santa Cruz,2,40.5972602739726,365,40.5972602739726,174.81262983591768,19,26.0,31.0,48.0,58.60000000000002,95,1.9671232876712328
2015,Shasta,Shasta,2,50.75068493150685,365,50.75068493150685,449.9733855185912,20,34.0,37.0,54.0,82.40000000000009,157,3.9424657534246577
2015,Siskiyou,Siskiyou,3,37.06077348066298,362,37.06077348066298,224.30100549425322,3,21.0,29.0,44.0,49.0,139,1.3011049723756907
2015,Solano,Solano,4,51.63013698630137,365,51.63013698630137,306.41502333283125,24,31.4,39.0,59.0,74.0,118,2.819178082191781
2015,Sonoma,Sonoma,3,40.74520547945205,365,40.74520547945205,166.55303326810176,18,28.0,32.0,47.0,58.0,90,4.920547945205479
2015,Stanislaus,Stanislaus,3,70.0931506849315,365,70.0931506849315,769.4803101008587,29,44.0,50.0,83.0,110.80000000000007,187,1.9972602739726026
2015,Sutter,Sutter,3,57.273972602739725,365,57.273972602739725,351.0071503838625,1,37.0,43.0,68.0,86.0,119,1.989041095890411
2015,Tehama,Tehama,3,52.0,365,52.0,579.8626373626373,7,26.0,37.0,64.0,87.0,154,1.536986301369863
2015,Trinity,Trinity,1,14.470588235294118,68,14.470588235294118,111.23792800702371,2,4.0,6.0,21.0,27.60000000000001,56,1.0
2015,Tulare,Tulare,3,86.81369863013698,365,86.81369863013698,1094.7728887550802,21,52.0,61.0,101.0,143.0,176,3.813698630136986
2015,Tuolumne,Tuolumne,1,46.8489010989011,364,46.8489010989011,471.18647261829057,8,25.300000000000004,31.0,54.0,77.0,126,1.0
2015,Ventura,Ventura,4,59.657534246575345,365,59.657534246575345,337.8301972000603,30,38.4,47.0,67.0,84.60000000000002,126,5.0
2015,Yolo,Yolo,3,52.04383561643836,365,52.04383561643836,268.4266445882881,16,33.0,40.0,60.0,77.0,103,2.1616438356164385
2016,Alameda,Alameda,3,54.55191256830601,366,54.55191256830601,394.9329141402803,27,35.0,42.0,59.75,74.0,154,6.155737704918033
2016,Alpine,Alpine,1,32.791666666666664,24,32.791666666666664,243.1286231884058,9,15.3,22.5,38.5,54.7,69,1.0
2016,Amador,Amador,1,40.99180327868852,366,40.99180327868852,335.5040422187289,6,22.0,29.0,47.0,64.0,115,1.0
2016,Butte,Butte,2,60.44535519125683,366,60.44535519125683,374.19837562691816,28,38.0,46.0,70.0,86.5,127,3.6639344262295084
2016,Calaveras,Calaveras,3,54.12841530054645,366,54.12841530054645,510.6985328243134,19,32.0,39.0,61.0,87.0,150,1.0
2016,Colusa,Colusa,3,47.15846994535519,366,47.15846994535519,179.09810614566976,11,31.0,37.0,55.0,64.0,92,1.9371584699453552
2016,Contra Costa,Contra Costa,2,47.96174863387978,366,47.96174863387978,205.96017665992974,22,33.0,37.0,55.0,63.0,143,3.658469945355191
2016,Del Norte,Del Norte,1,27.65536723163842,177,27.65536723163842,248.3748715973291,0,8.600000000000001,15.0,41.0,52.0,69,1.1638418079096045
2016,El Dorado,El Dorado,2,59.833333333333336,366,59.833333333333336,1087.0762557077626,24,32.0,39.0,74.0,105.0,172,3.6639344262295084
2016,Fresno,Fresno,3,84.22950819672131,366,84.22950819672131,1265.0595104423987,31,44.5,55.0,105.0,140.0,190,9.448087431693988
2016,Glenn,Glenn,3,47.68232044198895,362,47.68232044198895,187.81292756462275,7,31.0,36.25,57.0,64.0,92,1.0
2016,Humboldt,Humboldt,4,40.8551912568306,366,40.8551912568306,129.86116475784112,17,29.0,33.0,47.0,57.0,77,1.9972677595628416
2016,Imperial,Imperial,4,71.97540983606558,366,71.97540983606558,1519.6788457219845,35,44.0,53.0,82.0,105.0,546,4.969945355191257
2016,Inyo,Inyo,3,56.830601092896174,366,56.830601092896174,1498.650677445917,28,34.0,39.0,61.75,87.0,418,13.890710382513662
2016,Kern,Kern,3,86.5846994535519,366,86.5846994535519,1112.1832173066841,35,47.0,58.25,109.75,136.0,169,10.05464480874317
2016,Kings,Kings,3,76.49180327868852,366,76.49180327868852,747.2533572872208,31,44.0,55.0,97.0,115.0,156,2.9043715846994536
